3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 730 730 0 0 0 519 171 36 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 733 733 0 0 0 499 203 27 3 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 734 734 0 0 0 521 182 30 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 733 732 0 0 0 513 188 29 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 732 732 732 0 0 0 469 213 46 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 734 733 0 0 0 506 200 23 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 730 728 0 0 0 508 180 37 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 734 734 0 0 0 517 189 26 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 732 732 0 0 0 487 209 34 1 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 733 0 0 0 525 184 23 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 732 732 730 0 0 0 499 192 35 3 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 731 0 0 0 512 174 42 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 732 0 0 0 521 182 27 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 732 729 729 0 0 0 508 184 33 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 733 733 0 0 0 529 177 19 7 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 731 728 0 0 0 489 209 28 2 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 733 731 0 0 0 488 209 30 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 733 0 0 0 497 200 32 4 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 734 732 0 0 0 483 210 32 5 2 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 733 731 730 0 0 0 496 206 25 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 733 732 0 0 0 506 189 36 1 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 731 730 729 0 0 0 496 182 44 7 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 731 729 727 726 0 0 0 511 181 30 2 1 1 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 732 732 732 0 0 0 499 193 37 3 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 732 732 732 0 0 0 504 195 28 4 1 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 734 734 733 733 0 0 0 500 190 38 5 0 0 0 0 0
3_rcv_count, 5_rcv_count, 7_rcv_count, 51_rcv_count, slot1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12: 733 733 732 731 0 0 0 509 186 31 5 0 0 0 0 0
